p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
0.00015,1,1,1600,147024,1600,0.00015508685,10168176,10316800,456.227
0.000155,1,1,1600,143830,1600,0.00016404199,9608170,9753600,428.078
0.00016,1,1,1600,141465,1602,0.00017239153,9149733,9292800,435.809
0.000165,1,1,1600,135151,1600,0.0001860119,8464849,8601600,423.919
0.00017,1,1,1600,123757,1602,0.00020929139,7529041,7654400,336.642
0.000175,1,1,1600,121011,1602,0.00021957237,7173387,7296000,343.468
0.00018,1,1,1600,116731,1601,0.00023510926,6691268,6809600,311.086
0.000185,1,1,1600,114626,1606,0.00024698573,6386168,6502400,300.889
0.00019,1,1,1600,119274,1603,0.0002417652,6509523,6630400,319.189
0.000195,1,1,1600,115275,1606,0.00025710809,6129519,6246400,310.313
0.0002,1,1,1600,114457,1605,0.00026678856,5899938,6016000,270.223
