Monte Carlo table for [[5,1,3]] two-qubit simulator
Target fails per point: 1600
beta=1.0, gamma=1.0
ratio_fail = decoder_fail / total_runs  (all protocol runs, incl. no LUT)

p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
0.01,1,1,1600,7752,7717,0.30144531,10131,25600,5.067
0.02,1,1,1600,5654,15294,0.59742187,4652,25600,6.087
0.03,1,1,1600,3710,19507,0.76199219,2383,25600,5.888
0.04,1,1,1600,2532,21635,0.84511719,1433,25600,6.225
0.05,1,1,1600,1814,22866,0.89320312,920,25600,5.941
0.06,1,1,1600,1380,23496,0.9178125,724,25600,6.488
0.07,1,1,1600,1067,23981,0.93675781,552,25600,5.528
0.08,1,1,1600,919,24235,0.94667969,446,25600,6.153
0.09,1,1,1600,769,24489,0.95660156,342,25600,6.022
0.1,1,1,1600,722,24565,0.95957031,313,25600,5.893
