p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,ratio_over_p,total_runs,elapsed_sec
0.99,1,1,800,3,3197,0.9990625,1.009154,3200,12.920
0.97,1,1,800,1,3199,0.9996875,1.0306057,3200,13.036
0.95,1,1,800,3,3197,0.9990625,1.0516447,3200,13.156
0.92,1,1,800,5,3195,0.9984375,1.0852582,3200,12.788
0.9,1,1,800,2,3198,0.999375,1.1104167,3200,13.359
0.85,1,1,800,3,3197,0.9990625,1.1753676,3200,12.446
0.8,1,1,800,2,3198,0.999375,1.2492188,3200,14.915
0.75,1,1,800,3,3197,0.9990625,1.3320833,3200,11.737
0.7,1,1,800,2,3198,0.999375,1.4276786,3200,12.268
0.6,1,1,800,2,3198,0.999375,1.665625,3200,12.595
