Monte Carlo table for [[9,1,3]] Chris d=3 protocol
Target fails per point: 800
beta=1.0, gamma=1.0
ratio_fail = decoder_fail / total_runs
ratio_over_p = ratio_fail / p  (compare to PWMC ~249)

p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,ratio_over_p,total_runs,elapsed_sec
0.999,1,1,800,4,3196,0.99875,0.99974975,3200,16.339
0.998,1,1,800,2,3198,0.999375,1.0013778,3200,14.128
0.997,1,1,800,5,3195,0.9984375,1.0014418,3200,13.022
0.996,1,1,800,2,3198,0.999375,1.0033886,3200,13.825
0.995,1,1,800,6,3194,0.998125,1.0031407,3200,13.823
0.994,1,1,800,1,3199,0.9996875,1.0057218,3200,16.314
0.993,1,1,800,2,3198,0.999375,1.0064199,3200,13.466
0.992,1,1,800,5,3195,0.9984375,1.0064894,3200,16.728
0.991,1,1,800,1,3199,0.9996875,1.0087664,3200,14.869
0.99,1,1,800,2,3198,0.999375,1.0094697,3200,13.783
