p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,ratio_over_p,total_runs,elapsed_sec
0.999,1,1,800,4,3196,0.99875,0.99974975,3200,16.339
0.998,1,1,800,2,3198,0.999375,1.0013778,3200,14.128
0.997,1,1,800,5,3195,0.9984375,1.0014418,3200,13.022
0.996,1,1,800,2,3198,0.999375,1.0033886,3200,13.825
0.995,1,1,800,6,3194,0.998125,1.0031407,3200,13.823
0.994,1,1,800,1,3199,0.9996875,1.0057218,3200,16.314
0.993,1,1,800,2,3198,0.999375,1.0064199,3200,13.466
0.992,1,1,800,5,3195,0.9984375,1.0064894,3200,16.728
0.991,1,1,800,1,3199,0.9996875,1.0087664,3200,14.869
0.99,1,1,800,2,3198,0.999375,1.0094697,3200,13.783
0.97,1,1,800,1,3199,0.9996875,1.0306057,3200,13.036
0.95,1,1,800,3,3197,0.9990625,1.0516447,3200,13.156
0.92,1,1,800,5,3195,0.9984375,1.0852582,3200,12.788
0.9,1,1,800,2,3198,0.999375,1.1104167,3200,13.359
0.85,1,1,800,3,3197,0.9990625,1.1753676,3200,12.446
0.8,1,1,800,2,3198,0.999375,1.2492188,3200,14.915
0.75,1,1,800,3,3197,0.9990625,1.3320833,3200,11.737
0.7,1,1,800,2,3198,0.999375,1.4276786,3200,12.268
0.6,1,1,800,2,3198,0.999375,1.665625,3200,12.595
0.5,1,1,800,4,3196,0.99875,1.9975,3200,9.887
0.1,1,1,800,5,3195,0.9984375,9.984375,3200,8.399
0.01,1,1,800,32,3168,0.99,99,3200,7.901
0.001,1,1,800,2075,1125,0.3515625,351.5625,3200,8.959
0.0001,1,1,800,31088,912,0.0285,285,32000,35.840
1e-05,1,1,800,312791,809,0.0025797194,257.97194,313600,288.948
1e-06,1,1,800,3109599,801,0.00025752315,257.52315,3110400,2881.314
