Monte Carlo table for [[9,1,3]] Chris d=3 protocol (cms, extended p)
ratio_over_p = ratio_fail / p  (compare to PWMC ~249 at small p)

p,ratio_fail,ratio_over_p
0.999,0.99875,0.99974975
0.998,0.999375,1.0013778
0.997,0.9984375,1.0014418
0.996,0.999375,1.0033886
0.995,0.998125,1.0031407
0.994,0.9996875,1.0057218
0.993,0.999375,1.0064199
0.992,0.9984375,1.0064894
0.991,0.9996875,1.0087664
0.99,0.999375,1.0094697
0.97,0.9996875,1.0306057
0.95,0.9990625,1.0516447
0.92,0.9984375,1.0852582
0.9,0.999375,1.1104167
0.85,0.9990625,1.1753676
0.8,0.999375,1.2492188
0.75,0.9990625,1.3320833
0.7,0.999375,1.4276786
0.6,0.999375,1.665625
0.5,0.99875,1.9975
0.1,0.9984375,9.984375
0.01,0.99,99
0.001,0.3515625,351.5625
0.0001,0.0285,285
1e-05,0.0025797194,257.97194
1e-06,0.00025752315,257.52315
