p,ratio_fail,ratio_over_p,path_0,path_1,path_2,path_3,elapsed_sec
1e-06,0.00024960941,249.60941,4.96262e-08,6.62923e-08,3.77772e-07,0.000249116,6720.0
1e-07,2.4936101e-05,249.36101,4.9673326e-10,6.6394721e-10,3.7835593e-09,2.4931157e-05,6843.1
1e-08,2.493361e-06,249.3361,4.9678045e-12,6.6404972e-12,3.7841435e-11,2.4933116e-06,7121.4
1e-09,2.4933361e-07,249.33361,4.9678516e-14,6.6405997e-14,3.7842019e-13,2.4933312e-07,9271.5
1e-10,2.4933336e-08,249.33336,4.9678564e-16,6.64061e-16,3.7842078e-15,2.4933331e-08,9176.3
1e-11,2.4933334e-09,249.33334,4.9678568e-18,6.640611e-18,3.7842083e-17,2.4933333e-09,9355.7
1e-12,2.4933333e-10,249.33333,4.9678569e-20,6.6406111e-20,3.7842084e-19,2.4933333e-10,9855.1
1e-13,2.4933333e-11,249.33333,4.9678569e-22,6.6406111e-22,3.7842084e-21,2.4933333e-11,7609.2
1e-14,2.4933333e-12,249.33333,4.9678569e-24,6.6406111e-24,3.7842084e-23,2.4933333e-12,10546.7
1e-15,2.4933333e-13,249.33333,4.9678569e-26,6.6406111e-26,3.7842084e-25,2.4933333e-13,10347.3
